name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.resourcemanager.delegation-token-renewer.thread-retry-max-attempts,282.1429805,10775.50365,287.776462
yarn.resourcemanager.delegation-token-renewer.thread-retry-interval,288.7875108,10439.87665,293.9166447
yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs,280.4593886,10995.65573,305.4214339
yarn.resourcemanager.reservation-system.class,279.9450977,10957.26319,286.5832844
yarn.resourcemanager.reservation-system.plan.follower,284.9208918,10164.50577,285.7071344
yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,286.811026,228630.2183,281.4721836
yarn.resourcemanager.resource-profiles.enabled,319,10760.25032,287.5397204
yarn.resourcemanager.resource-profiles.source-file,302.9438862,10909.64059,287.5376436
yarn.nodemanager.hostname,294.2068846,10270.59068,305.9846882
yarn.nodemanager.address,284.4150076,10541.59089,291.4730469
yarn.nodemanager.bind-host,295.6910245,10015.35292,293.7328156
yarn.nodemanager.admin-env,275.9186529,10574.91948,287.7948397
yarn.nodemanager.force.path,285.2472447,10980.67572,304.1226193
yarn.nodemanager.container-executor.exit-code-file.timeout-ms,292.386304,10945.8837,298.6482474
yarn.nodemanager.delete.debug-delay-sec,279.3056622,10412.22061,281.1634957
yarn.nodemanager.keytab,281.743749,10483.32339,297.0510741
yarn.nodemanager.local-dirs,292.9255365,10864.03245,304.3045876
yarn.nodemanager.local-cache.max-files-per-directory,287.3418069,10688.58525,285.7748217
yarn.nodemanager.localizer.address,296.8034044,10715.19766,293.3103765
yarn.nodemanager.collector-service.address,283.765667,11014.57049,279.039665
yarn.nodemanager.emit-container-events,291.7549909,10957.27725,283.4738089
yarn.nodemanager.localizer.client.thread-count,292.6576637,10281.60298,304.5604173
yarn.nodemanager.container-localizer.log.level,289.6724599,10793.58652,301.0563058
yarn.nodemanager.log-dirs,288.2852065,10454.77226,300.6703781
yarn.nodemanager.default-container-executor.log-dirs.permissions,288.9128176,10994.6765,278.0931237
yarn.resourcemanager.application-tag-based-placement.enable,321,272837.1505,293.4221335
yarn.resourcemanager.application-tag-based-placement.username.whitelist,290.0582684,10131.1558,304.3007824
yarn.log-aggregation.debug.filesize,280.3393454,10749.64521,306.6489184
yarn.log-aggregation.file-controller.TFile.class,290.4592117,11046.91332,294.1559434
yarn.nodemanager.log.retain-seconds,300.174369,11052.21461,286.1092545
yarn.nodemanager.remote-app-log-dir,293.3426201,10549.4233,293.6403007
yarn.nodemanager.remote-app-log-dir-suffix,292.4968287,10062.01711,285.6584667
yarn.nodemanager.remote-app-log-dir.groupname,296.04343,10357.09461,301.7281213
yarn.nodemanager.log-container-debug-info.enabled,276.3542203,10082.36827,304.5234813
yarn.nodemanager.resource.memory.enforced,297.0714627,10318.09964,301.2914984
yarn.nodemanager.resource.memory.cgroups.soft-limit-percentage,295.0943468,10092.62881,292.7240321
yarn.nodemanager.resource.memory.cgroups.swappiness,299.6459765,10886.1558,282.9109071
yarn.nodemanager.resource.pcores-vcores-multiplier,289.6738614,10614.31919,295.5389179
yarn.nodemanager.logaggregation.threadpool-size-max,275.6125048,10022.4204,278.3318202
yarn.nodemanager.resource.percentage-physical-cpu-limit,287.9402068,10103.2223,299.4731825
yarn.nodemanager.webapp.address,278.1287965,10960.61603,304.4887647
yarn.nodemanager.webapp.https.address,295.6393978,10628.63069,277.8384231
yarn.nodemanager.webapp.spnego-keytab-file,287.3029228,10037.25568,278.4457777
yarn.nodemanager.webapp.spnego-principal,295.6360157,10738.91939,287.5934479
yarn.nodemanager.resource-calculator.class,293.5936529,10557.31519,280.7273608
yarn.nodemanager.container-log-monitor.total-size-limit-bytes,300.8579396,10356.20696,299.4988744
yarn.nodemanager.health-checker.scripts,299.1538251,11022.54479,292.8751648
yarn.nodemanager.health-checker.run-before-startup,292.7634498,10459.14266,281.4235636
yarn.nodemanager.health-checker.interval-ms,288.345587,10273.1534,300.8766049
yarn.nodemanager.disk-health-checker.interval-ms,274.5467302,10813.20805,301.3640215
yarn.nodemanager.disk-health-checker.disk-free-space-threshold.enabled,285.3667843,10376.24108,295.337379
yarn.nodemanager.linux-container-executor.path,298.1108423,10388.60004,295.6162235
yarn.nodemanager.linux-container-executor.cgroups.hierarchy,300.8336518,10875.98887,282.9669269
yarn.nodemanager.linux-container-executor.cgroups.mount-path,279.8903577,10031.61172,299.6370647
yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users,285.6883015,10901.91524,291.1737943
yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user,295.1069232,11052.57462,300.1978982
yarn.nodemanager.linux-container-executor.nonsecure-mode.user-pattern,279.9168852,10178.77069,288.0536663
yarn.nodemanager.runtime.linux.type,300.127283,10421.64317,279.6952033
yarn.nodemanager.runtime.linux.docker.image-name,285.1500521,10849.88684,282.2233182
yarn.nodemanager.runtime.linux.docker.image-update,274.4351996,10148.87121,286.1211483
yarn.nodemanager.runtime.linux.docker.privileged-containers.allowed,293.0893325,10805.15019,302.2217172
yarn.nodemanager.runtime.linux.docker.default-container-network,291.8531242,10887.56066,305.5742155
