name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
dfs.namenode.replication.min,"(389, 379, 384)","(267148, 258577, 258577)","(nan, nan, 'nan')"
dfs.blocksize,"(389, 374, 374)","(252722, 258577, 258577)","(370, 388, 388)"
dfs.client.block.write.retries,"(382, 389, 386)","(248668, 258577, 258577)","(405, 388, 388)"
dfs.client.block.write.replace-datanode-on-failure.best-effort,"(370, 356)","(259541, 258577)","(382, 388)"
dfs.namenode.safemode.threshold-pct,"(355, 357, 388)","(267407, 258577, 258577)","(388, 388, 388)"
dfs.namenode.safemode.min.datanodes,"(382, 382, 373)","(271462, 258577, 258577)","(374, 388, 388)"
dfs.namenode.safemode.extension,"(368, 386, 392)","(267893, 258577, 258577)","(380, 388, 388)"
dfs.namenode.resource.du.reserved,"(355, 365, 367)","(255576, 258577, 258577)","(371, 388, 388)"
dfs.datanode.balance.bandwidthPerSec,"(370, 364, 374)","(256014, 258577, 258577)","(388, 388, 388)"
dfs.hosts,"(381, 358, 376)","(260883, 258577, 258577)","(376, 388, 388)"
dfs.namenode.replication.interval,"(375, 388, 355)","(256541, 258577, 258577)","(390, 388, 388)"
dfs.client.write.exclude.nodes.cache.expiry.interval.millis,"(375, 366, 376)","(260649, 258577, 258577)","(385, 388, 388)"
dfs.namenode.checkpoint.period,"(364, 355, 363)","(263939, 258577, 258577)","(nan, nan, 'nan')"
dfs.client.failover.max.attempts,"(389, 385, 373)","(256927, 258577, 258577)","(376, 388, 388)"
dfs.client.failover.sleep.base.millis,"(377, 380, 382)","(258291, 258577, 258577)","(395, 388, 388)"
dfs.client.failover.sleep.max.millis,"(383, 390, 391)","(267345, 258577, 258577)","(381, 388, 388)"
dfs.nameservice.id,"(371, 380, 376)","(250330, 258577, 258577)","(374, 388, 388)"
dfs.ha.namenodes.EXAMPLENAMESERVICE,"(377, 372, 369)","(261926, 258577, 258577)","(393, 388, 388)"
dfs.ha.namenode.id,"(366, 370, 388)","(249533, 258577, 258577)","(404, 388, 388)"
dfs.client.local.interfaces,"(381, 369, 360)","(254614, 258577, 258577)","(405, 388, 388)"
dfs.namenode.kerberos.principal.pattern,"(368, 360, 391)","(248349, 258577, 258577)","(373, 388, 388)"
nfs.server.port,"(384, 367, 380)","(252999, 258577, 258577)","(393, 388, 388)"
nfs.mountd.port,"(376, 376, 359)","(246205, 258577, 258577)","(387, 388, 388)"
nfs.dump.dir,"(362, 391, 379)","(262900, 258577, 258577)","(400, 388, 388)"
nfs.keytab.file,"(392, 375, 355)","(265367, 258577, 258577)","(395, 388, 388)"
nfs.kerberos.principal,"(375, 374, 369)","(262568, 258577, 258577)","(402, 388, 388)"
nfs.allow.insecure.ports,"(380, 372)","(257956, 258577)","(386, 388)"
hadoop.fuse.connection.timeout,"(389, 362, 375)","(264484, 258577, 258577)","(397, 388, 388)"
dfs.data.transfer.saslproperties.resolver.class,"(377, 376, 375)","(258695, 258577, 258577)","(395, 388, 388)"
dfs.datanode.hdfs-blocks-metadata.enabled,"(379, 378)","(250277, 258577)","(403, 388)"
dfs.client.file-block-storage-locations.num-threads,"(376, 360, 386)","(257605, 258577, 258577)","(386, 388, 388)"
dfs.client.file-block-storage-locations.timeout.millis,"(374, 361, 382)","(266326, 258577, 258577)","(374, 388, 388)"
dfs.client.mmap.cache.size,"(375, 360, 378)","(257895, 258577, 258577)","(392, 388, 388)"
dfs.client.mmap.retry.timeout.ms,"(381, 386, 379)","(256033, 258577, 258577)","(375, 388, 388)"
dfs.client.short.circuit.replica.stale.threshold.ms,"(360, 389, 387)","(248875, 258577, 258577)","(370, 388, 388)"
dfs.namenode.edit.log.autoroll.multiplier.threshold,"(384, 372, 356)","(257941, 258577, 258577)","(389, 388, 388)"
dfs.webhdfs.user.provider.user.pattern,"(374, 388, 373)","(271428, 258577, 258577)","(384, 388, 388)"
dfs.domain.socket.path,"(361, 356, 382)","(264274, 258577, 258577)","(378, 388, 388)"
dfs.datanode.shared.file.descriptor.paths,"(379, 369, 383)","(259208, 258577, 258577)","(390, 388, 388)"
dfs.client.use.legacy.blockreader.local,"(369, 361)","(265144, 258577)","(380, 388)"
dfs.client.domain.socket.data.traffic,"(361, 360)","(317650, 258577)","(396, 388)"
dfs.encryption.key.provider.uri,"(374, 385, 360)","(258198, 258577, 258577)","(385, 388, 388)"
dfs.datanode.block-pinning.enabled,"(372, 390)","(268334, 258577)","(379, 388)"
dfs.replication.min,"(374, 380, 364)","(246054, 258577, 258577)","(401, 388, 388)"
